shipmentId;districtName;townName;;;;;
7e0d60d5-62e5-43b6-b3eb-067598308837;LAS CONDES;;;;;;
1110bc95-6bff-4882-9aef-126931f7d444;PEÑALOLÉN;;;;;;
e7ff5084-4e07-42cb-af19-556938f13774;SAAVEDRA;SAAVEDRA;;;;;
c20ae9b3-0321-4440-8509-0ab56b35e183;SAAVEDRA;SAAVEDRA;;;;;
72d790c1-2e00-4341-ada9-1f41a1611781;SAAVEDRA;SAAVEDRA;;;;;
0e204443-e647-4471-afc4-513ff14082d2;NANCAGUA;NANCAGUA;;;;;
6b18dc2b-0e48-4bb9-bcff-93dd70d5be06;MAULE;MAULE;;;;;
01da602b-c95b-41ef-abfa-4d04d0ba2aaa;CATEMU;CATEMU;;;;;
ef025b1e-3485-4bbb-a828-795e70956d90;CATEMU;CATEMU;;;;;
5de6efd7-001a-49ef-a51b-8b9dc72c9c05;CARTAGENA;CARTAGENA;;;;;
b118ad3d-d5dc-434f-b62c-1d7035c912a2;CATEMU;CATEMU;;;;;
f85ce067-cc6d-477a-a630-21022442ff14;ALGARROBO;ALGARROBO - ALGARROBO;;;;;
7147fe10-3198-4b7c-a7d6-451fb41e0ef6;CAUQUENES;CAUQUENES - CAUQUENES;;;;;
61f5cd54-fa68-425b-86ce-2db4cd1c53ed;VILLARRICA;VILLARRICA - LICAN RAY;;;;;
88803164-2ea7-4bdf-8991-779b5d5f6117;LAS CONDES;;;;;;
5fe4d6df-17c2-4c28-9490-ebdce91c3909;ALHUÉ;ALHUÉ;;;;;
10248dbf-965f-4f8f-b80a-95ee5e3e24e7;LOTA;LOTA - LOTA;;;;;
f882462c-e80a-4a94-a9e3-e5dee71c2a03;PEDRO AGUIRRE CERDA;;;;;;
954fd920-4406-4068-bfcf-024d7d3b00a1;LOTA;LOTA - LOTA;;;;;
ef474b74-de8d-436b-8d30-e48a69d59121;LA PINTANA;;;;;;
f812baeb-5c05-4391-b4dc-78529635322a;ALTO HOSPICIO;ALTO HOSPICIO;;;;;
0503e4e5-9264-4151-8af6-aabb6e951681;SAN PEDRO;SAN PEDRO;;;;;
fc4b8a3e-d84c-4bbf-b6f1-bf1ceef9e109;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
887c1f91-eba9-4294-9687-86fa4416415e;ALHUÉ;ALHUÉ;;;;;
52f343b1-7d74-4817-8916-f65aaa956ba2;CERRILLOS;;;;;;
6a33ab29-1165-4415-8a80-b9b99b9cac47;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
87f4e669-922e-4191-817e-13bd5d0c4e1b;TOMÉ;TOMÉ - PUNTA DE PARRA;;;;;
8d41a723-3933-46f6-9694-5b56fe88a2a8;SAN MIGUEL;;;;;;
fbae8719-2e6e-4099-a36a-ef98e938fdc7;RENCA;;;;;;
a5092d65-f184-46a7-8896-c7bbeced7d4a;ÑUÑOA;;;;;;
4dec94d4-1045-4aa5-aa8d-8fc88e65b70f;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
7287d618-fb86-4e36-aff0-2bd9e11235b3;QUINTA NORMAL;;;;;;
4aa87e82-f203-4e39-8e86-a6e02c82b26e;MAIPÚ;;;;;;
035b6a9a-4ce5-4aab-8e87-8df256e1d6d7;ÑUÑOA;;;;;;
c90699da-3d71-4d5b-81cb-5dff4372b9ed;LA PINTANA;;;;;;
e96d4023-ea76-424f-9230-c6fe538f1ad1;LA PINTANA;;;;;;
a6971609-60a7-40a3-8703-41e2a1ddb85d;MARÍA PINTO;MARÍA PINTO;;;;;
ce214de4-b427-432b-bda5-d6f8f94c6dcb;PEÑALOLÉN;;;;;;
d789d5f0-0f5e-43a4-918e-b3ef0acc19df;PUERTO OCTAY;PUERTO OCTAY;;;;;
